timestep,reward
3,0.412
303,0.2875
618,0.4455
926,0.511
1233,0.422
1512,0.5035
1836,0.552
2133,-0.352
2440,0.52
2722,1.5065
3012,1.7655
3368,1.989
3675,2.3525
4000,2.175
4345,2.14
4660,2.2725
4972,2.2235
5269,2.1155
5568,2.182
5915,1.9765
6230,2.0585
6533,1.9465
6848,1.79
7198,2.023
7528,1.8885
7861,1.862
8169,1.7905
8474,2.0205
8782,1.931
9128,1.996
9428,2.047
9752,2.164
10053,2.0545
10419,2.279
10736,1.9175
11064,1.941
11396,2.1965
11726,1.901
12034,2.027
12354,1.914
12689,2.227
13037,1.9995
13397,1.9365
13753,1.9435
14088,2.024
14427,1.9885
14788,2.07
15156,2.037
15498,1.8895
15825,1.9055
